timestamp,Open,High,Low,Close,Volume
2024-05-29 00:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,910932117.9856793
2024-05-29 01:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 02:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 03:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 04:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 05:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 06:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 07:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 08:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 09:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 10:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 11:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 12:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 13:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 14:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 15:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 16:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 17:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 18:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 19:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 20:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 21:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 22:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-29 23:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.5280899270598433,0.0
2024-05-30 00:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,913623872.9601555
2024-05-30 01:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 02:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 03:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 04:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 05:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 06:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 07:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 08:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 09:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 10:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 11:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 12:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 13:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 14:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 15:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 16:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 17:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 18:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 19:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 20:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 21:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 22:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-30 23:00:00+00:00,0.5280899270598433,0.5280899270598433,0.5230226029339523,0.5230226029339523,0.0
2024-05-31 00:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,999431026.3674443
2024-05-31 01:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 02:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 03:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 04:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 05:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 06:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 07:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 08:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 09:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 10:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 11:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
2024-05-31 12:00:00+00:00,0.5230226029339523,0.5230226029339523,0.5189280097690969,0.5189280097690969,0.0
